episode,epsilon,score,average_score,total_reward,average_reward,Q_table_length
197,0.821190633312658,18,20.893939393939394,8.0,10.944444444444445,4531
198,0.8203698531378311,12,20.849246231155778,2.0,10.899497487437186,4545
199,0.8195498933329256,16,20.825,6.0,10.875,4563
200,0.8187307530779818,33,20.885572139303484,23.0,10.935323383084578,4598
201,0.8179124315538594,23,20.896039603960396,13.0,10.945544554455445,4623
202,0.8170949279422366,17,20.876847290640395,7.0,10.926108374384237,4642
203,0.8162782414256099,10,20.823529411764707,0.0,10.872549019607844,4654
204,0.8154623711872927,18,20.809756097560975,8.0,10.858536585365854,4674
205,0.8146473164114145,12,20.766990291262136,2.0,10.815533980582524,4688
206,0.8138330762829207,15,20.73913043478261,5.0,10.78743961352657,4705
207,0.813019649987571,9,20.682692307692307,-1.0,10.73076923076923,4716
208,0.812207036711939,21,20.68421052631579,11.0,10.732057416267942,4739
209,0.8113952356434114,10,20.633333333333333,0.0,10.68095238095238,4751
210,0.8105842459701871,12,20.592417061611375,2.0,10.639810426540285,4765
211,0.8097740668812763,25,20.61320754716981,15.0,10.660377358490566,4792
212,0.8089646975664998,8,20.55399061032864,-2.0,10.60093896713615,4802
213,0.8081561372164884,15,20.52803738317757,5.0,10.574766355140186,4819
214,0.8073483850226815,32,20.58139534883721,22.0,10.627906976744185,4853
215,0.8065414401773269,11,20.537037037037038,1.0,10.583333333333334,4866
216,0.8057353018734796,14,20.506912442396313,4.0,10.55299539170507,4882
217,0.8049299693050015,30,20.55045871559633,20.0,10.596330275229358,4914
218,0.8041254416665596,13,20.515981735159816,3.0,10.561643835616438,4929
219,0.8033217181536265,17,20.5,7.0,10.545454545454545,4948
220,0.8025187979624785,22,20.506787330316744,12.0,10.552036199095022,4972
221,0.8017166802901953,12,20.46846846846847,2.0,10.513513513513514,4986
222,0.8009153643346592,12,20.430493273542602,2.0,10.475336322869955,5000
223,0.8001148492945541,11,20.388392857142858,1.0,10.433035714285714,5013
224,0.7993151343693651,14,20.36,4.0,10.404444444444444,5029
225,0.7985162187593771,35,20.424778761061948,25.0,10.469026548672566,5066
226,0.7977181016656743,12,20.387665198237887,2.0,10.431718061674008,5080
227,0.7969207822901396,24,20.403508771929825,14.0,10.447368421052632,5106
228,0.7961242598354538,14,20.375545851528383,4.0,10.419213973799126,5122
229,0.7953285335050939,15,20.35217391304348,5.0,10.395652173913044,5139
